SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
HITECH,Hi-Tech Pipes Limited,EQ,07-May-18,1,1,INE106T01025,1
HLEGLAS,HLE Glascoat Limited,EQ,09-Feb-23,2,1,INE461D01028,2
HMAAGRO,HMA Agro Industries Limited,EQ,04-Jul-23,1,1,INE0ECP01024,1
HNDFDS,Hindustan Foods Limited,EQ,06-Jun-23,2,1,INE254N01026,2
HOMEFIRST,Home First Finance Company India Limited,EQ,03-Feb-21,2,1,INE481N01025,2
HONASA,Honasa Consumer Limited,EQ,07-Nov-23,10,1,INE0J5401028,10
HPL,HPL Electric & Power Limited,EQ,04-Oct-16,10,1,INE495S01016,10
HSCL,Himadri Speciality Chemical Limited,EQ,02-Mar-07,1,1,INE019C01026,1
HTMEDIA,HT Media Limited,EQ,01-Sep-05,2,1,INE501G01024,2
HUBTOWN,Hubtown Limited,EQ,07-Feb-07,10,1,INE703H01016,10
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-May-17,10,1,INE031A01017,10
HUHTAMAKI,Huhtamaki India Limited,EQ,01-Oct-04,2,1,INE275B01026,2
HYUNDAI,Hyundai Motor India Limited,EQ,22-Oct-24,10,1,INE0V6F01027,10
IBULLSLTD,Indiabulls Limited,EQ,18-Aug-11,2,1,INE126M01010,2
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-Oct-20,10,1,INE520Y01019,10
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ,19-Dec-25,1,1,INE346A01027,1
ICICIBANK,ICICI Bank Limited,EQ,17-Sep-97,2,1,INE090A01021,2
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-Sep-17,10,1,INE765G01017,10
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-Sep-16,10,1,INE726G01019,10
ICIL,Indo Count Industries Limited,EQ,12-Sep-05,2,1,INE483B01026,2
ICRA,ICRA Limited,EQ,13-Apr-07,10,1,INE725G01011,10
IDBI,IDBI Bank Limited,EQ,20-Sep-95,10,1,INE008A01015,10
IDEA,Vodafone Idea Limited,EQ,09-Mar-07,10,1,INE669E01016,10
IDEAFORGE,Ideaforge Technology Limited,EQ,07-Jul-23,10,1,INE349Y01013,10
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-Nov-15,10,1,INE092T01019,10
IEX,Indian Energy Exchange Limited,EQ,23-Oct-17,1,1,INE022Q01020,1
IFBIND,IFB Industries Limited,EQ,29-Mar-95,10,1,INE559A01017,10
IFCI,IFCI Limited,EQ,26-Apr-95,10,1,INE039A01010,10
IFGLEXPOR,IFGL Refractories Limited,EQ,14-Nov-17,10,1,INE133Y01011,10
IGARASHI,Igarashi Motors India Limited,EQ,09-Oct-03,10,1,INE188B01013,10
IGCL,Indogulf Cropsciences Limited,EQ,03-Jul-25,10,1,INE05J901018,10
IGIL,International Gemological Institute Limited,EQ,20-Dec-24,2,1,INE0Q9301021,2
IGL,Indraprastha Gas Limited,EQ,26-Dec-03,2,1,INE203G01027,2
IGPL,IG Petrochemicals Limited,EQ,29-Jan-07,10,1,INE204A01010,10
IIFL,IIFL Finance Limited,EQ,17-May-05,2,1,INE530B01024,2
IIFLCAPS,IIFL Capital Services Limited,EQ,20-Sep-19,2,1,INE489L01022,2
IITL,Industrial Investment Trust Limited,EQ,17-Aug-10,10,1,INE886A01014,10
IKIO,IKIO Technologies Limited,EQ,16-Jun-23,10,1,INE0LOJ01019,10
IKS,Inventurus Knowledge Solutions Limited,EQ,19-Dec-24,1,1,INE115Q01022,1
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-Apr-15,10,1,INE172N01012,10
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-Jul-10,10,1,INE919H01018,10
INA,Insolation Energy Limited,EQ,09-Mar-26,1,1,INE0LGX01024,1
INDGN,Indegene Limited,EQ,13-May-24,2,1,INE065X01017,2
INDHOTEL,The Indian Hotels Company Limited,EQ,03-Jul-96,1,1,INE053A01029,1
INDIACEM,The India Cements Limited,EQ,31-May-00,10,1,INE383A01012,10
INDIAGLYCO,India Glycols Limited,EQ,01-Jul-05,5,1,INE560A01023,5
INDIAMART,Indiamart Intermesh Limited,EQ,04-Jul-19,10,1,INE933S01016,10
INDIANB,Indian Bank,EQ,01-Mar-07,10,1,INE562A01011,10
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-Aug-95,2,1,INE323C01030,2
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-Dec-23,5,1,INE922K01024,5
INDIGO,InterGlobe Aviation Limited,EQ,10-Nov-15,10,1,INE646L01027,10
INDIGOPNTS,Indigo Paints Limited,EQ,02-Feb-21,10,1,INE09VQ01012,10
INDIQUBE,Indiqube Spaces Limited,EQ,30-Jul-25,1,1,INE06ST01018,1
INDNIPPON,India Nippon Electricals Limited,EQ,07-May-97,5,1,INE092B01025,5
INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-Mar-22,1,1,INE803D01021,1
INDOCO,Indoco Remedies Limited,EQ,14-Jan-05,2,1,INE873D01024,2
INDOFARM,Indo Farm Equipment Limited,EQ,07-Jan-25,10,1,INE622H01018,10
INDOMIM,INDO-MIM Limited,EQ,30-Jul-26,1,1,INE084101034,1
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-Jun-03,10,1,INE156A01020,10
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-May-18,10,1,INE896L01010,10
INDOTECH,Indo Tech Transformers Limited,EQ,16-Mar-06,10,1,INE332H01014,10
INDOTHAI,Indo Thai Securities Limited,EQ,02-Nov-11,1,1,INE337M01021,1
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-Apr-97,10,1,INE681B01017,10
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-Jul-97,10,1,INE915B01019,10
INDUSINDBK,IndusInd Bank Limited,EQ,28-Jan-98,10,1,INE095A01012,10
INDUSTOWER,Indus Towers Limited,EQ,28-Dec-12,10,1,INE121J01017,10
INFOBEAN,InfoBeans Technologies Limited,EQ,15-Jul-19,10,1,INE344S01016,10
INFY,Infosys Limited,EQ,08-Feb-95,5,1,INE009A01021,5
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-Apr-99,10,1,INE177A01018,10
INNOVACAP,Innova Captab Limited,EQ,29-Dec-23,10,1,INE0DUT01020,10
INNOVISION,Innovision Limited,EQ,23-Mar-26,10,1,INE0ADB01012,10
INOXGREEN,Inox Green Energy Services Limited,EQ,23-Nov-22,10,1,INE510W01014,10
INOXINDIA,INOX India Limited,EQ,21-Dec-23,2,1,INE616N01034,2
INOXWIND,Inox Wind Limited,EQ,09-Apr-15,10,1,INE066P01011,10
INSECTICID,Insecticides (India) Limited,EQ,30-May-07,10,1,INE070I01018,10
INTELLECT,Intellect Design Arena Limited,EQ,18-Dec-14,5,1,INE306R01017,5
INTERARCH,Interarch Building Solutions Limited,EQ,26-Aug-24,10,1,INE00M901018,10
IOB,Indian Overseas Bank,EQ,07-Dec-00,10,1,INE565A01014,10
IOC,Indian Oil Corporation Limited,EQ,24-Jul-96,10,1,INE242A01010,10
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-Nov-10,2,1,INE485C01029,2
IONEXCHANG,ION Exchange (India) Limited,EQ,22-Feb-22,1,1,INE570A01022,1
IPCALAB,IPCA Laboratories Limited,EQ,08-Feb-95,1,1,INE571A01038,1
IPL,India Pesticides Limited,EQ,05-Jul-21,1,1,INE0D6701023,1
IRB,IRB Infrastructure Developers Limited,EQ,25-Feb-08,1,1,INE821I01022,1
IRCON,Ircon International Limited,EQ,28-Sep-18,2,1,INE962Y01021,2
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-Oct-19,2,1,INE335Y01020,2
IREDA,Indian Renewable Energy Development Agency Limited,EQ,29-Nov-23,10,1,INE202E01016,10
IRFC,Indian Railway Finance Corporation Limited,EQ,29-Jan-21,10,1,INE053F01010,10
IRIS,IRIS RegTech Solutions Limited,EQ,08-Nov-21,10,1,INE864K01010,10
IRISDOREME,Iris Clothings Limited,EQ,22-Feb-21,2,1,INE01GN01025,2
IRMENERGY,IRM Energy Limited,EQ,26-Oct-23,10,1,INE07U701015,10
ISFT,Intrasoft Technologies Limited,EQ,12-Apr-10,10,1,INE566K01011,10
ISGEC,Isgec Heavy Engineering Limited,EQ,05-May-21,1,1,INE858B01029,1
ITC,ITC Limited,EQ,23-Aug-95,1,1,INE154A01025,1
ITCHOTELS,ITC Hotels Limited,EQ,29-Jan-25,1,1,INE379A01028,1
ITDC,India Tourism Development Corporation Limited,EQ,30-Dec-16,10,1,INE353K01014,10
ITI,ITI Limited,EQ,15-Sep-03,10,1,INE248A01017,10
IVALUE,Ivalue Infosolutions Limited,EQ,25-Sep-25,2,1,INE056801025,2
IXIGO,Le Travenues Technology Limited,EQ,18-Jun-24,1,1,INE0HV901016,1
IZMO,IZMO Limited,EQ,05-Feb-07,10,1,INE848A01014,10
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-Jul-98,1,1,INE168A01041,1
JAGRAN,Jagran Prakashan Limited,EQ,22-Feb-06,2,1,INE199G01027,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-Mar-00,2,1,INE048B01035,2
JAIBALAJI,Jai Balaji Industries Limited,EQ,09-Dec-03,2,1,INE091G01026,2
JAICORPLTD,Jai Corp Limited,EQ,26-Nov-97,1,1,INE070D01027,1
JAINREC,Jain Resource Recycling Limited,EQ,01-Oct-25,2,1,INE0YD401026,2
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-Dec-10,1,1,INE039C01032,1
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-Sep-25,10,1,INE00YJ01010,10
JASH,Jash Engineering Limited,EQ,30-Oct-19,2,1,INE039O01029,2
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-Apr-96,5,1,INE785A01026,5
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-Jan-96,2,1,INE571B01036,2
JAYKAY,Jaykay Enterprises Limited,EQ,03-Dec-25,1,1,INE903A01025,1
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-May-95,10,1,INE854B01010,10
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-Feb-95,5,1,INE364A01020,5
JBMA,JBM Auto Limited,EQ,17-Dec-04,1,1,INE927D01051,1
JETFREIGHT,Jet Freight Logistics Limited,EQ,21-Dec-21,5,1,INE982V01025,5
JGCHEM,J.G.Chemicals Limited,EQ,13-Mar-24,10,1,INE0MB501011,10
JINDALPHOT,Jindal Photo Limited,EQ,07-Apr-05,10,1,INE796G01012,10
JINDALPOLY,Jindal Poly Films Limited,EQ,21-Jan-02,10,1,INE197D01010,10
JINDALSAW,Jindal Saw Limited,EQ,29-Apr-03,1,1,INE324A01032,1
JINDALSTEL,JINDAL STEEL LIMITED,EQ,29-Dec-99,1,1,INE749A01030,1
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-Dec-06,5,1,INE742C01031,5
JINDWORLD,Jindal Worldwide Limited,EQ,25-Nov-10,1,1,INE247D01039,1
JIOFIN,Jio Financial Services Limited,EQ,21-Aug-23,10,1,INE758E01017,10
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-Aug-01,2,1,INE175A01038,2
JITFINFRA,JITF Infralogistics Limited,EQ,27-Feb-17,2,1,INE863T01013,2
JKCEMENT,JK Cement Limited,EQ,14-Mar-06,10,1,INE823G01014,10
JKIL,J.Kumar Infraprojects Limited,EQ,12-Feb-08,5,1,INE576I01022,5
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-Jun-06,5,1,INE786A01032,5
JKPAPER,JK Paper Limited,EQ,16-Jun-05,10,1,INE789E01012,10
JKTYRE,JK Tyre & Industries Limited,EQ,19-Mar-07,2,1,INE573A01042,2
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-Sep-23,2,1,INE682M01020,2
JMFINANCIL,JM Financial Limited,EQ,10-Oct-06,1,1,INE780C01023,1
JNKINDIA,JNK India Limited,EQ,30-Apr-24,2,1,INE0OAF01028,2
JNPR,Juniper Green Energy Limited,EQ,06-Aug-26,10,1,INE05C901015,10
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-Nov-13,10,1,INE147P01019,10
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-Apr-05,10,1,INE351F01018,10
JSFB,Jana Small Finance Bank Limited,EQ,14-Feb-24,10,1,INE953L01027,10
JSL,Jindal Stainless Limited,EQ,17-Nov-03,2,1,INE220G01021,2
JSLL,Jeena Sikho Lifecare Limited,EQ,11-Aug-25,2,1,INE0J5801029,2
JSWCEMENT,JSW Cement Limited,EQ,14-Aug-25,10,1,INE718I01012,10
JSWDULUX,JSW Dulux Limited,EQ,28-Jun-01,10,1,INE133A01011,10
JSWENERGY,JSW Energy Limited,EQ,04-Jan-10,10,1,INE121E01018,10
JSWINFRA,JSW Infrastructure Limited,EQ,03-Oct-23,2,1,INE880J01026,2
JSWSTEEL,JSW Steel Limited,EQ,23-Mar-05,1,1,INE019A01038,1
JTEKTINDIA,Jtekt India Limited,EQ,12-Jan-04,1,1,INE643A01035,1
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-Jun-23,1,1,INE391J01032,1
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,14-Feb-25,10,1,INE03CC01015,10
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-Feb-10,2,1,INE797F01020,2
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-Mar-21,1,1,INE0BY001018,1
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-Jun-03,1,1,INE700A01033,1
JUNIPER,Juniper Hotels Limited,EQ,28-Feb-24,10,1,INE696F01016,10
JUSTDIAL,Just Dial Limited,EQ,05-Jun-13,10,1,INE599M01018,10
JWL,Jupiter Wagons Limited,EQ,18-Oct-10,10,1,INE209L01016,10
JYOTHYLAB,Jyothy Labs Limited,EQ,19-Dec-07,1,1,INE668F01031,1
JYOTICNC,Jyoti CNC Automation Limited,EQ,16-Jan-24,2,1,INE980O01024,2
JYOTIRES,Jyoti Resins & Adhesives Limited,EQ,17-Aug-26,10,1,INE577D01013,10
JYOTISTRUC,Jyoti Structures Limited,EQ,19-Jul-95,2,1,INE197A01024,2
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-Sep-95,5,1,INE900B01029,5
KAJARIACER,Kajaria Ceramics Limited,EQ,01-Jun-04,1,1,INE217B01036,1
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ,27-Sep-23,2,1,INE438K01021,2
KALPATARU,Kalpataru Limited,EQ,01-Jul-25,10,1,INE227J01012,10
KALYANIFRG,Kalyani Forge Limited,EQ,20-Dec-07,10,1,INE314G01014,10
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-Mar-21,10,1,INE303R01014,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-May-96,10,1,INE967C01018,10
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-Sep-03,1,1,INE531A01024,1
KAPSTON,Kapston Services Limited,EQ,27-May-20,5,1,INE542Z01028,5
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-Jul-00,2,1,INE036D01028,2
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,EQ,29-Jan-08,10,1,INE641C01019,10
KAYA,Kaya Limited,EQ,14-Aug-15,10,1,INE587G01015,10
KAYNES,Kaynes Technology India Limited,EQ,22-Nov-22,10,1,INE918Z01012,10
KCP,KCP Limited,EQ,09-Apr-97,1,1,INE805C01028,1
KDDL,KDDL Limited,EQ,23-Mar-16,10,1,INE291D01011,10
KEC,KEC International Limited,EQ,10-Mar-06,2,1,INE389H01022,2
KECL,Kirloskar Electric Company Limited,EQ,09-Mar-10,10,1,INE134B01017,10
KEI,KEI Industries Limited,EQ,23-Mar-06,2,1,INE878B01027,2
KELLTONTEC,Kellton Tech Solutions Limited,EQ,02-Mar-16,1,1,INE164B01030,1
KENNAMET,Kennametal India Limited,EQ,20-Apr-26,10,1,INE717A01029,10
KERNEX,Kernex Microsystems (India) Limited,EQ,20-Dec-05,10,1,INE202H01019,10
KFINTECH,Kfin Technologies Limited,EQ,29-Dec-22,10,1,INE138Y01010,10
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,EQ,30-Oct-20,1,1,INE745B01028,1
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-Jun-21,2,1,INE967H01025,2
KINGFA,Kingfa Science & Technology (India) Limited,EQ,15-Nov-16,10,1,INE473D01015,10
KIOCL,KIOCL Limited,EQ,29-Nov-16,10,1,INE880L01014,10
KIRIINDUS,Kiri Industries Limited,EQ,22-Apr-08,10,1,INE415I01015,10
KIRLFER,Kirloskar Ferrous Industries Limited,EQ,20-Apr-26,5,1,INE884B01025,5
KIRLOSBROS,Kirloskar Brothers Limited,EQ,20-Apr-10,2,1,INE732A01036,2
KIRLOSENG,Kirloskar Oil Engines Limited,EQ,24-Dec-10,2,1,INE146L01010,2
KIRLOSIND,Kirloskar Industries Limited,EQ,24-Jun-10,10,1,INE250A01039,10
KIRLPNU,Kirloskar Pneumatic Company Limited,EQ,26-Apr-23,1,1,INE811A01038,1
KISSHT,OnEMI Technology Solutions Limited,EQ,08-May-26,1,1,INE12F801023,1
KITEX,Kitex Garments Limited,EQ,25-Sep-12,1,1,INE602G01020,1
KKCL,Kewal Kiran Clothing Limited,EQ,13-Apr-06,10,1,INE401H01017,10
KLBRENG-B,Kilburn Engineering Limited,EQ,20-Apr-26,10,1,INE338F01015,10
KMCSHIL,K M C Speciality Hospitals (India) Limited,EQ,17-Aug-26,1,1,INE879K01018,1
KMEW,Knowledge Marine & Engineering Works Limited,EQ,14-Nov-24,5,1,INE0CJD01029,5
KMSUGAR,K.M.Sugar Mills Limited,EQ,31-May-07,2,1,INE157H01023,2
KNACK,Knack Packaging Limited,EQ,08-Jul-26,10,1,INE17QZ01016,10
KNRCON,KNR Constructions Limited,EQ,18-Feb-08,2,1,INE634I01029,2
KOHINOOR,Kohinoor Foods Limited,EQ,20-Oct-99,10,1,INE080B01012,10
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-Dec-07,10,1,INE094I01018,10
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-Dec-95,1,1,INE237A01036,1
KOTARISUG,Kothari Sugars And Chemicals Limited,EQ,13-Dec-04,10,1,INE419A01022,10
KOTHARIPET,Kothari Petrochemicals Limited,EQ,02-Nov-96,10,1,INE720A01015,10
KOTIC,Kothari Industrial Corporation Limited,EQ,20-Apr-26,5,1,INE972A01020,5
KPEL,K.P. Energy Limited,EQ,14-Nov-24,5,1,INE127T01021,5
KPIGREEN,KPI Green Energy Limited,EQ,27-Jul-21,5,1,INE542W01025,5
KPIL,Kalpataru Projects International Limited,EQ,15-Dec-00,2,1,INE220B01022,2
KPITTECH,KPIT Technologies Limited,EQ,22-Apr-19,10,1,INE04I401011,10
KPL,Kwality Pharmaceuticals Limited,EQ,20-Apr-26,10,1,INE552U01010,10
KPRMILL,K.P.R. Mill Limited,EQ,28-Aug-07,1,1,INE930H01031,1
KRBL,KRBL Limited,EQ,21-Jan-02,1,1,INE001B01026,1
KRISHANA,Krishana Phoschem Limited,EQ,22-Aug-19,2,1,INE506W01020,2
KRISHIVAL,Krishival Foods Limited,EQ,20-Jun-25,10,1,INE0GGO01015,10
KRISHNADEF,Krishna Defence And Allied Industries Limited,EQ,30-Dec-25,10,1,INE0J5601015,10
KRN,KRN Heat Exchanger and Refrigeration Limited,EQ,03-Oct-24,10,1,INE0Q3J01015,10
KRONOX,Kronox Lab Sciences Limited,EQ,10-Jun-24,10,1,INE0ATZ01017,10
KROSS,Kross Limited,EQ,16-Sep-24,5,1,INE0O6601022,5
KRSNAA,Krsnaa Diagnostics Limited,EQ,16-Aug-21,5,1,INE08LI01020,5
KRYSTAL,Krystal Integrated Services Limited,EQ,21-Mar-24,10,1,INE0QN801017,10
KSB,Ksb Limited,EQ,08-Feb-95,2,1,INE999A01023,2
KSCL,Kaveri Seed Company Limited,EQ,04-Oct-07,2,1,INE455I01029,2
KSE,KSE Limited,EQ,17-Aug-26,1,1,INE953E01022,1
KSHINTL,KSH International Limited,EQ,23-Dec-25,5,1,INE987S01020,5
KSL,Kalyani Steels Limited,EQ,19-May-10,5,1,INE907A01026,5
KSOLVES,Ksolves India Limited,EQ,23-Sep-22,5,1,INE0D6I01023,5
KTKBANK,The Karnataka Bank Limited,EQ,10-May-00,10,1,INE614B01018,10
KUANTUM,Kuantum Papers Limited,EQ,23-Oct-19,1,1,INE529I01021,1
KUSUMGAR,Kusumgar Limited,EQ,15-Jul-26,1,1,INE0ISX01025,1
KWIL,Kwality Wall's (India) Limited,EQ,16-Feb-26,1,1,INE2KCE01013,1
LALPATHLAB,Dr. Lal Path Labs Ltd.,EQ,23-Dec-15,10,1,INE600L01024,10
LANCORHOL,Lancor Holdings Limited,EQ,12-Mar-24,2,1,INE572G01025,2
LANDMARK,Landmark Cars Limited,EQ,23-Dec-22,5,1,INE559R01029,5
LAOPALA,La Opala RG Limited,EQ,16-Mar-07,2,1,INE059D01020,2
LASA,Lasa Supergenerics Limited,EQ,21-Sep-17,10,1,INE670X01014,10
LASERPOWER,Laser Power & Infra Limited,EQ,16-Jul-26,5,1,INE17IR01028,5
LATENTVIEW,Latent View Analytics Limited,EQ,23-Nov-21,1,1,INE0I7C01011,1
LAURUSLABS,Laurus Labs Limited,EQ,19-Dec-16,2,1,INE947Q01028,2
LAXMIDENTL,Laxmi Dental Limited,EQ,20-Jan-25,2,1,INE0WO601020,2
LAXMIINDIA,Laxmi India Finance Limited,EQ,05-Aug-25,5,1,INE06WU01026,5
LCL,Lohia Corp Limited,EQ,30-Jul-26,1,1,INE0QJW01029,1
LEAPIND,LEAP India Limited,EQ,14-Aug-26,1,1,INE00GO01025,1
LEMERITE,Le Merite Exports Limited,EQ,12-Dec-25,2,1,INE0G1L01025,2
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-Apr-18,10,1,INE970X01018,10
LENSKART,Lenskart Solutions Limited,EQ,10-Nov-25,2,1,INE956O01016,2
LGBBROSLTD,LG Balakrishnan & Bros Limited,EQ,30-Mar-10,10,1,INE337A01034,10
LGEINDIA,LG Electronics India Limited,EQ,14-Oct-25,10,1,INE324D01010,10
LIBERTSHOE,Liberty Shoes Limited,EQ,27-Sep-95,10,1,INE557B01019,10
LICHSGFIN,LIC Housing Finance Limited,EQ,29-Jul-98,2,1,INE115A01026,2
LICI,Life Insurance Corporation Of India,EQ,17-May-22,10,1,INE0J1Y01017,10
LIKHITHA,Likhitha Infrastructure Limited,EQ,15-Oct-20,5,1,INE060901027,5
LINCOLN,Lincoln Pharmaceuticals Limited,EQ,17-Dec-15,10,1,INE405C01035,10
LINDEINDIA,Linde India Limited,EQ,16-Jun-99,10,1,INE473A01011,10
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,EQ,18-Jul-16,1,1,INE093R01011,1
LLOYDSENT,Lloyds Enterprises Limited,EQ,17-Oct-24,1,1,INE080I01025,1
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-Jul-23,1,1,INE281B01032,1
LMW,LMW Limited,EQ,29-Mar-95,10,1,INE269B01029,10
LODHA,Lodha Developers Limited,EQ,19-Apr-21,10,1,INE670K01029,10
LT,Larsen & Toubro Limited,EQ,23-Jun-04,2,1,INE018A01030,2
LTF,L&T Finance Limited,EQ,12-Aug-11,10,1,INE498L01015,10
LTFOODS,LT Foods Limited,EQ,18-Dec-06,1,1,INE818H01020,1
LTM,LTM Limited,EQ,21-Jul-16,1,1,INE214T01019,1
LTTS,L&T Technology Services Limited,EQ,23-Sep-16,2,1,INE010V01017,2
LUMAXIND,Lumax Industries Limited,EQ,06-Sep-95,10,1,INE162B01018,10
LUMAXTECH,Lumax Auto Technologies Limited,EQ,16-Jan-07,2,1,INE872H01027,2
LUPIN,Lupin Limited,EQ,10-Sep-01,2,1,INE326A01037,2
LUXIND,Lux Industries Limited,EQ,30-Nov-15,2,1,INE150G01020,2
LXCHEM,Laxmi Organic Industries Limited,EQ,25-Mar-21,2,1,INE576O01020,2
M&M,Mahindra & Mahindra Limited,EQ,03-Jan-96,5,1,INE101A01026,5
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-Mar-06,2,1,INE774D01024,2
MAANALU,Maan Aluminium Limited,EQ,22-Oct-07,5,1,INE215I01027,5
MACPOWER,Macpower CNC Machines Limited,EQ,19-Aug-20,10,1,INE155Z01011,10
MAFATIND,Mafatlal Industries Limited,EQ,20-Apr-26,2,1,INE270B01035,2
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-Jul-17,10,1,INE347W01011,10
MAHABANK,Bank of Maharashtra,EQ,12-Apr-04,10,1,INE457A01014,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-May-00,10,1,INE813A01018,10
MAHLOG,Mahindra Logistics Limited,EQ,10-Nov-17,10,1,INE766P01016,10
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-Aug-04,5,1,INE271B01025,5
MAITHANALL,Maithan Alloys Limited,EQ,05-Jul-11,10,1,INE683C01011,10
MAMATA,Mamata Machinery Limited,EQ,27-Dec-24,10,1,INE0TO701015,10
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,30-Mar-15,1,1,INE830Q01018,1
MANAKSTEEL,Manaksia Steels Limited,EQ,30-Mar-15,1,1,INE824Q01011,1
MANALIPETC,Manali Petrochemicals Limited,EQ,06-Dec-06,5,1,INE201A01024,5
MANAPPURAM,Manappuram Finance Limited,EQ,01-Dec-14,2,1,INE522D01027,2
MANBA,Manba Finance Limited,EQ,30-Sep-24,10,1,INE939X01013,10
MANBRO,Manbro Industries Limited,EQ,17-Aug-26,1,1,INE348N01042,1
MANCREDIT,Mangal Credit and Fincorp Limited,EQ,16-Aug-24,10,1,INE545L01039,10
MANGLMCEM,Mangalam Cement Limited,EQ,03-Jan-96,10,1,INE347A01017,10
MANINDS,Man Industries (India) Limited,EQ,24-Jun-05,5,1,INE993A01026,5
MANINFRA,Man Infraconstruction Limited,EQ,11-Mar-10,2,1,INE949H01023,2
MANIPALHOS,Manipal Health Enterprises Limited,EQ,05-Aug-26,2,1,INE459N01021,2
MANKIND,Mankind Pharma Limited,EQ,09-May-23,1,1,INE634S01028,1
MANOMAY,Manomay Tex India Limited,EQ,18-Jan-23,10,1,INE784W01015,10
MANORAMA,Manorama Industries Limited,EQ,01-Jul-22,2,1,INE00VM01036,2
MANYAVAR,Vedant Fashions Limited,EQ,16-Feb-22,1,1,INE825V01034,1
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-Dec-21,2,1,INE0BV301023,2
MARATHON,Marathon Nextgen Realty Limited,EQ,29-Sep-16,5,1,INE182D01020,5
MARICO,Marico Limited,EQ,01-May-96,1,1,INE196A01026,1
MARINE,Marine Electricals (India) Limited,EQ,02-Dec-20,2,1,INE01JE01028,2
MARKOLINES,Markolines Pavement Technologies Limited,EQ,14-Oct-25,10,1,INE0FW001016,10
MARKSANS,Marksans Pharma Limited,EQ,21-Jan-02,1,1,INE750C01026,1
MARSONS,Marsons Limited,EQ,13-Mar-26,1,1,INE415B01044,1
MARUTI,Maruti Suzuki India Limited,EQ,09-Jul-03,5,1,INE585B01010,5
MASFIN,MAS Financial Services Limited,EQ,18-Oct-17,10,1,INE348L01012,10
MASTEK,Mastek Limited,EQ,10-May-95,5,1,INE759A01021,5
MASTERTR,Master Trust Limited,EQ,12-Nov-24,1,1,INE677D01037,1
MATRIMONY,Matrimony.Com Limited,EQ,21-Sep-17,5,1,INE866R01028,5
